time	V(vin)	V(vout)
1.420360056945955e-003	2.171593e+001	2.029317e+000
1.430360056945955e-003	2.171393e+001	2.029315e+000
1.440360056945955e-003	2.171193e+001	2.029313e+000
1.450360056945955e-003	2.170993e+001	2.029312e+000
1.460360056945955e-003	2.170793e+001	2.029310e+000
1.470360056945955e-003	2.170593e+001	2.029308e+000
1.480360056945955e-003	2.170393e+001	2.029307e+000
1.490360056945955e-003	2.170193e+001	2.029305e+000
1.500360056945955e-003	2.169993e+001	2.029303e+000
1.510360056945955e-003	2.169793e+001	2.029302e+000
1.520360056945955e-003	2.169593e+001	2.029300e+000
1.530360056945955e-003	2.169393e+001	2.029298e+000
1.540360056945955e-003	2.169193e+001	2.029296e+000
1.550360056945955e-003	2.168993e+001	2.029295e+000
1.560360056945955e-003	2.168793e+001	2.029293e+000
1.570360056945955e-003	2.168593e+001	2.029291e+000
1.580360056945955e-003	2.168393e+001	2.029290e+000
1.590360056945955e-003	2.168193e+001	2.029288e+000
1.600360056945955e-003	2.167993e+001	2.029286e+000
1.610360056945955e-003	2.167793e+001	2.029285e+000
1.630360056945955e-003	2.167393e+001	2.029281e+000
1.640360056945955e-003	2.167193e+001	2.029280e+000
1.650360056945955e-003	2.166993e+001	2.029278e+000
1.660360056945955e-003	2.166793e+001	2.029276e+000
1.670360056945955e-003	2.166593e+001	2.029275e+000
1.680360056945955e-003	2.166393e+001	2.029273e+000
1.690360056945955e-003	2.166193e+001	2.029271e+000
1.700360056945955e-003	2.165993e+001	2.029270e+000
1.710360056945955e-003	2.165793e+001	2.029268e+000
1.720360056945955e-003	2.165593e+001	2.029266e+000
1.730360056945955e-003	2.165393e+001	2.029265e+000
1.750360056945955e-003	2.164993e+001	2.029261e+000
1.760360056945955e-003	2.164793e+001	2.029259e+000
1.770360056945955e-003	2.164593e+001	2.029258e+000
1.780360056945956e-003	2.164393e+001	2.029256e+000
1.790360056945956e-003	2.164193e+001	2.029254e+000
1.800360056945956e-003	2.163993e+001	2.029253e+000
