rl	V(vout)	-I(Rl)
2.480000000099991e+000	2.007088e+000	8.093095e-001
2.490000000099991e+000	2.007088e+000	8.060594e-001
2.500000000099991e+000	2.007088e+000	8.028352e-001
2.510000000099991e+000	2.007088e+000	7.996367e-001
2.520000000099990e+000	2.007088e+000	7.964637e-001
2.530000000099990e+000	2.007089e+000	7.933157e-001
2.540000000099990e+000	2.007089e+000	7.901925e-001
2.550000000099990e+000	2.007089e+000	7.870938e-001
2.560000000099989e+000	2.007089e+000	7.840193e-001
2.570000000099989e+000	2.007090e+000	7.809687e-001
2.580000000099989e+000	2.007090e+000	7.779418e-001
2.590000000099989e+000	2.007090e+000	7.749382e-001
2.600000000099989e+000	2.007090e+000	7.719578e-001
2.610000000099988e+000	2.007090e+000	7.690001e-001
2.620000000099988e+000	2.007091e+000	7.660651e-001
2.630000000099988e+000	2.007091e+000	7.631524e-001
2.640000000099988e+000	2.007091e+000	7.602617e-001
2.650000000099988e+000	2.007091e+000	7.573928e-001
2.660000000099987e+000	2.007091e+000	7.545456e-001
2.670000000099987e+000	2.007091e+000	7.517196e-001
2.680000000099987e+000	2.007092e+000	7.489148e-001
2.690000000099987e+000	2.007092e+000	7.461308e-001
2.700000000099986e+000	2.007092e+000	7.433674e-001
2.710000000099986e+000	2.007092e+000	7.406244e-001
2.720000000099986e+000	2.007092e+000	7.379016e-001
2.730000000099986e+000	2.007092e+000	7.351987e-001
2.740000000099986e+000	2.007093e+000	7.325156e-001
2.750000000099985e+000	2.007093e+000	7.298519e-001
2.760000000099985e+000	2.007093e+000	7.272076e-001
2.770000000099985e+000	2.007093e+000	7.245824e-001
2.780000000099985e+000	2.007093e+000	7.219760e-001
2.790000000099985e+000	2.007093e+000	7.193883e-001
2.800000000099984e+000	2.007094e+000	7.168192e-001
2.810000000099984e+000	2.007094e+000	7.142683e-001
2.820000000099984e+000	2.007094e+000	7.117354e-001
2.830000000099984e+000	2.007094e+000	7.092205e-001
2.840000000099983e+000	2.007094e+000	7.067233e-001
2.850000000099983e+000	2.007094e+000	7.042437e-001
2.860000000099983e+000	2.007095e+000	7.017813e-001
2.870000000099983e+000	2.007095e+000	6.993362e-001
2.880000000099983e+000	2.007095e+000	6.969079e-001
2.890000000099982e+000	2.007095e+000	6.944966e-001
2.900000000099982e+000	2.007095e+000	6.921018e-001
2.910000000099982e+000	2.007095e+000	6.897235e-001
2.920000000099982e+000	2.007096e+000	6.873615e-001
2.930000000099982e+000	2.007096e+000	6.850156e-001
2.940000000099981e+000	2.007096e+000	6.826857e-001
2.950000000099981e+000	2.007096e+000	6.803715e-001
2.960000000099981e+000	2.007096e+000	6.780730e-001
2.970000000099981e+000	2.007096e+000	6.757900e-001
2.980000000099981e+000	2.007097e+000	6.735223e-001
2.990000000099980e+000	2.007097e+000	6.712698e-001
3.000000000099980e+000	2.007097e+000	6.690322e-001
3.010000000099980e+000	2.007097e+000	6.668096e-001
3.020000000099980e+000	2.007097e+000	6.646017e-001
3.030000000099979e+000	2.007097e+000	6.624083e-001
3.040000000099979e+000	2.007097e+000	6.602294e-001
3.050000000099979e+000	2.007097e+000	6.580647e-001
3.060000000099979e+000	2.007091e+000	6.559119e-001
3.070000000099979e+000	2.007098e+000	6.537778e-001
3.080000000099978e+000	2.007098e+000	6.516551e-001
3.090000000099978e+000	2.007040e+000	6.495274e-001
3.100000000099978e+000	2.007098e+000	6.474510e-001
3.110000000099978e+000	2.007098e+000	6.453692e-001
3.120000000099978e+000	2.007098e+000	6.433008e-001
3.130000000099977e+000	2.007098e+000	6.412455e-001
3.140000000099977e+000	2.007099e+000	6.392034e-001
3.150000000099977e+000	2.007099e+000	6.371742e-001
3.160000000099977e+000	2.007099e+000	6.351579e-001
3.170000000099976e+000	2.007099e+000	6.331543e-001
3.180000000099976e+000	2.007099e+000	6.311633e-001
3.190000000099976e+000	2.007099e+000	6.291847e-001
3.200000000099976e+000	2.007099e+000	6.272186e-001
3.210000000099976e+000	2.007100e+000	6.252646e-001
3.220000000099975e+000	2.007100e+000	6.233229e-001
3.230000000099975e+000	2.007100e+000	6.213931e-001
3.240000000099975e+000	2.007100e+000	6.194753e-001
3.250000000099975e+000	2.007100e+000	6.175693e-001
3.260000000099975e+000	2.007100e+000	6.156749e-001
3.270000000099974e+000	2.007100e+000	6.137922e-001
3.280000000099974e+000	2.007101e+000	6.119209e-001
3.290000000099974e+000	2.007101e+000	6.100610e-001
3.300000000099974e+000	2.007101e+000	6.082124e-001
3.310000000099973e+000	2.007101e+000	6.063749e-001
3.320000000099973e+000	2.007101e+000	6.045484e-001
3.330000000099973e+000	2.007101e+000	6.027331e-001
3.340000000099973e+000	2.007043e+000	6.009110e-001
3.350000000099973e+000	2.007101e+000	5.991347e-001
3.360000000099972e+000	2.007102e+000	5.973516e-001
3.370000000099972e+000	2.007102e+000	5.955791e-001
3.380000000099972e+000	2.007102e+000	5.938171e-001
3.390000000099972e+000	2.007102e+000	5.920655e-001
3.400000000099972e+000	2.007102e+000	5.903241e-001
3.410000000099971e+000	2.007102e+000	5.885929e-001
3.420000000099971e+000	2.007102e+000	5.868720e-001
3.430000000099971e+000	2.007102e+000	5.851610e-001
3.440000000099971e+000	2.007102e+000	5.834600e-001
3.450000000099970e+000	2.007102e+000	5.817688e-001
3.460000000099970e+000	2.007102e+000	5.800874e-001
3.470000000099970e+000	2.007103e+000	5.784158e-001
3.480000000099970e+000	2.007102e+000	5.767536e-001
3.490000000099970e+000	2.007103e+000	5.751011e-001
3.500000000099969e+000	2.007103e+000	5.734580e-001
3.510000000099969e+000	2.007103e+000	5.718243e-001
3.520000000099969e+000	2.007103e+000	5.701998e-001
3.530000000099969e+000	2.007103e+000	5.685845e-001
3.540000000099969e+000	2.007103e+000	5.669784e-001
3.550000000099968e+000	2.007104e+000	5.653813e-001
3.560000000099968e+000	2.007104e+000	5.637932e-001
3.570000000099968e+000	2.007104e+000	5.622140e-001
3.580000000099968e+000	2.007104e+000	5.606436e-001
3.590000000099967e+000	2.007104e+000	5.590819e-001
3.600000000099967e+000	2.007104e+000	5.575289e-001
3.610000000099967e+000	2.007104e+000	5.559846e-001
3.620000000099967e+000	2.007104e+000	5.544487e-001
3.630000000099967e+000	2.007104e+000	5.529214e-001
3.640000000099966e+000	2.007105e+000	5.514023e-001
3.650000000099966e+000	2.007105e+000	5.498917e-001
3.660000000099966e+000	2.007105e+000	5.483893e-001
3.670000000099966e+000	2.007105e+000	5.468951e-001
3.680000000099966e+000	2.007105e+000	5.454090e-001
3.690000000099965e+000	2.007105e+000	5.439309e-001
3.700000000099965e+000	2.007105e+000	5.424609e-001
3.710000000099965e+000	2.007105e+000	5.409987e-001
3.720000000099965e+000	2.007105e+000	5.395445e-001
3.730000000099965e+000	2.007048e+000	5.380825e-001
3.740000000099964e+000	2.007106e+000	5.366592e-001
3.750000000099964e+000	2.007105e+000	5.352281e-001
3.760000000099964e+000	2.007106e+000	5.338047e-001
