rl	V(current_feedback)	V(voltage_feedback)	V(vout)	-I(Rl)
1.440000000100001e+000	1.026072e+000	3.211236e-001	2.953815e+000	2.051260e+000
1.450000000100001e+000	1.026062e+000	3.231651e-001	2.974299e+000	2.051241e+000
1.460000000100001e+000	1.026051e+000	3.252065e-001	2.994783e+000	2.051221e+000
1.470000000100001e+000	1.026041e+000	3.272478e-001	3.015267e+000	2.051202e+000
1.480000000100001e+000	1.026030e+000	3.292891e-001	3.035750e+000	2.051182e+000
1.490000000100001e+000	1.026020e+000	3.313304e-001	3.056232e+000	2.051162e+000
1.500000000100001e+000	1.026009e+000	3.333717e-001	3.076715e+000	2.051143e+000
1.510000000100001e+000	1.025999e+000	3.354129e-001	3.097196e+000	2.051123e+000
1.520000000100001e+000	1.025982e+000	3.374523e-001	3.117660e+000	2.051092e+000
1.530000000100001e+000	1.025978e+000	3.394952e-001	3.138159e+000	2.051084e+000
1.540000000100001e+000	1.025967e+000	3.415363e-001	3.158640e+000	2.051065e+000
1.550000000100001e+000	1.025957e+000	3.435774e-001	3.179120e+000	2.051045e+000
1.560000000100001e+000	1.025946e+000	3.456184e-001	3.199600e+000	2.051026e+000
1.570000000100001e+000	1.025936e+000	3.476594e-001	3.220080e+000	2.051006e+000
1.580000000100001e+000	1.025926e+000	3.497003e-001	3.240559e+000	2.050987e+000
1.590000000100001e+000	1.025915e+000	3.517413e-001	3.261038e+000	2.050967e+000
1.600000000100001e+000	1.025905e+000	3.537821e-001	3.281516e+000	2.050947e+000
1.610000000100001e+000	1.025894e+000	3.558230e-001	3.301994e+000	2.050928e+000
1.620000000100001e+000	1.025884e+000	3.578638e-001	3.322472e+000	2.050909e+000
1.630000000100001e+000	1.025873e+000	3.599045e-001	3.342949e+000	2.050889e+000
1.640000000100001e+000	1.025863e+000	3.619452e-001	3.363426e+000	2.050869e+000
1.650000000100001e+000	1.025852e+000	3.639860e-001	3.383903e+000	2.050850e+000
1.660000000100001e+000	1.025842e+000	3.660266e-001	3.404379e+000	2.050831e+000
1.670000000100001e+000	1.025832e+000	3.680672e-001	3.424855e+000	2.050811e+000
1.680000000100001e+000	1.025821e+000	3.701078e-001	3.445330e+000	2.050792e+000
1.690000000100001e+000	1.025811e+000	3.721483e-001	3.465805e+000	2.050772e+000
1.700000000100001e+000	1.025800e+000	3.741888e-001	3.486280e+000	2.050753e+000
1.710000000100001e+000	1.025790e+000	3.762293e-001	3.506754e+000	2.050733e+000
1.720000000100001e+000	1.025779e+000	3.782697e-001	3.527228e+000	2.050714e+000
1.730000000100001e+000	1.025769e+000	3.803101e-001	3.547701e+000	2.050694e+000
1.740000000100001e+000	1.025759e+000	3.823505e-001	3.568175e+000	2.050675e+000
1.750000000100001e+000	1.025748e+000	3.843908e-001	3.588647e+000	2.050656e+000
1.760000000100001e+000	1.025738e+000	3.864311e-001	3.609120e+000	2.050636e+000
1.770000000100001e+000	1.025727e+000	3.884713e-001	3.629592e+000	2.050617e+000
1.780000000100001e+000	1.025717e+000	3.905115e-001	3.650063e+000	2.050597e+000
1.790000000100001e+000	1.026121e+000	3.926997e-001	3.672019e+000	2.051407e+000
1.800000000100001e+000	1.025696e+000	3.945919e-001	3.691005e+000	2.050559e+000
1.810000000100001e+000	1.025686e+000	3.966320e-001	3.711476e+000	2.050539e+000
1.820000000100001e+000	1.025676e+000	3.986720e-001	3.731946e+000	2.050520e+000
1.830000000100001e+000	1.025665e+000	4.007120e-001	3.752416e+000	2.050500e+000
1.840000000100001e+000	1.025655e+000	4.027520e-001	3.772885e+000	2.050481e+000
1.850000000100001e+000	1.025644e+000	4.047920e-001	3.793354e+000	2.050462e+000
1.860000000100001e+000	1.025634e+000	4.068319e-001	3.813823e+000	2.050442e+000
1.870000000100001e+000	1.025624e+000	4.088718e-001	3.834291e+000	2.050423e+000
1.880000000100002e+000	1.025613e+000	4.109116e-001	3.854759e+000	2.050404e+000
1.890000000100002e+000	1.025603e+000	4.129514e-001	3.875226e+000	2.050384e+000
1.900000000100002e+000	1.025593e+000	4.149912e-001	3.895694e+000	2.050365e+000
1.910000000100002e+000	1.025582e+000	4.170310e-001	3.916160e+000	2.050346e+000
1.920000000100002e+000	1.025572e+000	4.190706e-001	3.936627e+000	2.050326e+000
1.930000000100002e+000	1.025561e+000	4.211103e-001	3.957093e+000	2.050307e+000
1.940000000100002e+000	1.025551e+000	4.231499e-001	3.977558e+000	2.050288e+000
1.950000000100002e+000	1.025541e+000	4.251895e-001	3.998024e+000	2.050268e+000
1.960000000100002e+000	1.025530e+000	4.272290e-001	4.018488e+000	2.050249e+000
1.970000000100002e+000	1.025520e+000	4.292686e-001	4.038953e+000	2.050230e+000
1.980000000100002e+000	1.025510e+000	4.313081e-001	4.059417e+000	2.050211e+000
1.990000000100002e+000	1.025499e+000	4.333475e-001	4.079881e+000	2.050191e+000
2.000000000100001e+000	1.025489e+000	4.353869e-001	4.100344e+000	2.050172e+000
2.010000000100001e+000	1.025479e+000	4.374263e-001	4.120807e+000	2.050153e+000
2.020000000100001e+000	1.025468e+000	4.394656e-001	4.141270e+000	2.050134e+000
2.030000000100001e+000	1.025458e+000	4.415049e-001	4.161732e+000	2.050114e+000
2.040000000100001e+000	1.025448e+000	4.435441e-001	4.182194e+000	2.050095e+000
2.050000000100000e+000	1.025438e+000	4.455834e-001	4.202656e+000	2.050076e+000
2.060000000100000e+000	1.025427e+000	4.476225e-001	4.223117e+000	2.050057e+000
2.070000000100000e+000	1.025424e+000	4.496648e-001	4.243608e+000	2.050052e+000
2.080000000100000e+000	1.025407e+000	4.517008e-001	4.264038e+000	2.050018e+000
2.090000000099999e+000	1.025396e+000	4.537399e-001	4.284498e+000	2.049999e+000
2.100000000099999e+000	1.025386e+000	4.557789e-001	4.304958e+000	2.049980e+000
2.110000000099999e+000	1.025376e+000	4.578179e-001	4.325417e+000	2.049961e+000
2.120000000099999e+000	1.025365e+000	4.598569e-001	4.345876e+000	2.049942e+000
2.130000000099999e+000	1.025355e+000	4.618958e-001	4.366334e+000	2.049922e+000
2.140000000099998e+000	1.025345e+000	4.639347e-001	4.386793e+000	2.049903e+000
2.150000000099998e+000	1.025335e+000	4.659736e-001	4.407250e+000	2.049884e+000
2.160000000099998e+000	1.025324e+000	4.680124e-001	4.427708e+000	2.049865e+000
2.170000000099998e+000	1.025314e+000	4.700512e-001	4.448165e+000	2.049846e+000
2.180000000099998e+000	1.025304e+000	4.720899e-001	4.468622e+000	2.049826e+000
2.190000000099997e+000	1.025293e+000	4.741287e-001	4.489078e+000	2.049807e+000
2.200000000099997e+000	1.025283e+000	4.761674e-001	4.509534e+000	2.049788e+000
2.210000000099997e+000	1.025273e+000	4.782060e-001	4.529990e+000	2.049769e+000
2.220000000099997e+000	1.025263e+000	4.802446e-001	4.550445e+000	2.049750e+000
2.230000000099996e+000	1.025252e+000	4.822831e-001	4.570899e+000	2.049731e+000
2.240000000099996e+000	1.025242e+000	4.843217e-001	4.591354e+000	2.049712e+000
2.250000000099996e+000	1.025232e+000	4.863602e-001	4.611808e+000	2.049693e+000
2.260000000099996e+000	1.025222e+000	4.883986e-001	4.632262e+000	2.049674e+000
2.270000000099996e+000	1.025211e+000	4.904371e-001	4.652716e+000	2.049654e+000
2.280000000099995e+000	1.025206e+000	4.924777e-001	4.673191e+000	2.049645e+000
2.290000000099995e+000	1.025191e+000	4.945138e-001	4.693621e+000	2.049616e+000
2.300000000099995e+000	1.025181e+000	4.965521e-001	4.714074e+000	2.049597e+000
2.310000000099995e+000	1.025170e+000	4.985904e-001	4.734525e+000	2.049578e+000
2.320000000099995e+000	1.025160e+000	5.006287e-001	4.754977e+000	2.049559e+000
2.330000000099994e+000	1.025150e+000	5.026669e-001	4.775428e+000	2.049540e+000
2.340000000099994e+000	1.025140e+000	5.047051e-001	4.795879e+000	2.049521e+000
2.350000000099994e+000	1.025130e+000	5.067432e-001	4.816329e+000	2.049502e+000
