Freq.	V(Vout,N004)/-I(V3)-V(n004)/I(Rl)
1.80301774085954e-001	(-2.52716000144787e+001dB,8.40307413503788e-004°)
1.80717412601090e-001	(-2.52716000144738e+001dB,8.42244522150198e-004°)
1.81134009261958e-001	(-2.52716000144695e+001dB,8.44186096293263e-004°)
1.81551566277311e-001	(-2.52716000144651e+001dB,8.46132146227008e-004°)
1.81970085860996e-001	(-2.52716000144608e+001dB,8.48082682269136e-004°)
1.82389570231961e-001	(-2.52716000144569e+001dB,8.50037714761247e-004°)
1.82810021614272e-001	(-2.52716000144514e+001dB,8.51997254068597e-004°)
1.83231442237119e-001	(-2.52716000144475e+001dB,8.53961310580726e-004°)
1.83653834334832e-001	(-2.52716000144431e+001dB,8.55929894710612e-004°)
1.84077200146893e-001	(-2.52716000144386e+001dB,8.57903016895627e-004°)
1.84501541917945e-001	(-2.52716000144341e+001dB,8.59880687597031e-004°)
1.84926861897805e-001	(-2.52716000144296e+001dB,8.61862917300216e-004°)
1.85353162341479e-001	(-2.52716000144245e+001dB,8.63849716514757e-004°)
1.85780445509167e-001	(-2.52716000144205e+001dB,8.65841095774618e-004°)
1.86208713666284e-001	(-2.52716000144159e+001dB,8.67837065637676e-004°)
1.86637969083464e-001	(-2.52716000144113e+001dB,8.69837636686510e-004°)
1.87068214036577e-001	(-2.52716000144061e+001dB,8.71842819527829e-004°)
1.87499450806739e-001	(-2.52716000144021e+001dB,8.73852624793070e-004°)
1.87931681680324e-001	(-2.52716000143974e+001dB,8.75867063137918e-004°)
1.88364908948977e-001	(-2.52716000143922e+001dB,8.77886145242657e-004°)
1.88799134909627e-001	(-2.52716000143886e+001dB,8.79909881812516e-004°)
1.89234361864495e-001	(-2.52716000143822e+001dB,8.81938283576715e-004°)
1.89670592121112e-001	(-2.52716000143785e+001dB,8.83971361290150e-004°)
1.90107827992327e-001	(-2.52716000143738e+001dB,8.86009125731658e-004°)
1.90546071796322e-001	(-2.52716000143684e+001dB,8.88051587705255e-004°)
1.90985325856621e-001	(-2.52716000143636e+001dB,8.90098758040054e-004°)
1.91425592502106e-001	(-2.52716000143582e+001dB,8.92150647589785e-004°)
1.91866874067026e-001	(-2.52716000143539e+001dB,8.94207267233585e-004°)
1.92309172891013e-001	(-2.52716000143479e+001dB,8.96268627875079e-004°)
1.92752491319091e-001	(-2.52716000143441e+001dB,8.98334740443871e-004°)
1.93196831701689e-001	(-2.52716000143392e+001dB,9.00405615893901e-004°)
1.93642196394658e-001	(-2.52716000143331e+001dB,9.02481265204753e-004°)
1.94088587759275e-001	(-2.52716000143287e+001dB,9.04561699381606e-004°)
1.94536008162263e-001	(-2.52716000143237e+001dB,9.06646929454478e-004°)
1.94984459975802e-001	(-2.52716000143187e+001dB,9.08736966479130e-004°)
1.95433945577536e-001	(-2.52716000143142e+001dB,9.10831821536742e-004°)
1.95884467350596e-001	(-2.52716000143086e+001dB,9.12931505733915e-004°)
1.96336027683602e-001	(-2.52716000143035e+001dB,9.15036030203083e-004°)
1.96788628970681e-001	(-2.52716000142978e+001dB,9.17145406102135e-004°)
1.97242273611482e-001	(-2.52716000142932e+001dB,9.19259644614929e-004°)
1.97696964011183e-001	(-2.52716000142869e+001dB,9.21378756950731e-004°)
1.98152702580507e-001	(-2.52716000142834e+001dB,9.23502754345196e-004°)
1.98609491735734e-001	(-2.52716000142777e+001dB,9.25631648059130e-004°)
1.99067333898716e-001	(-2.52716000142724e+001dB,9.27765449380001e-004°)
1.99526231496885e-001	(-2.52716000142672e+001dB,9.29904169620879e-004°)
1.99986186963271e-001	(-2.52716000142613e+001dB,9.32047820121046e-004°)
2.00447202736513e-001	(-2.52716000142566e+001dB,9.34196412246100e-004°)
2.00909281260870e-001	(-2.52716000142507e+001dB,9.36349957387405e-004°)
2.01372424986236e-001	(-2.52716000142453e+001dB,9.38508466963009e-004°)
2.01836636368153e-001	(-2.52716000142394e+001dB,9.40671952417058e-004°)
2.02301917867824e-001	(-2.52716000142346e+001dB,9.42840425220228e-004°)
2.02768271952125e-001	(-2.52716000142286e+001dB,9.45013896869404e-004°)
2.03235701093619e-001	(-2.52716000142231e+001dB,9.47192378888191e-004°)
2.03704207770569e-001	(-2.52716000142182e+001dB,9.49375882826773e-004°)
2.04173794466950e-001	(-2.52716000142116e+001dB,9.51564420261591e-004°)
2.04644463672464e-001	(-2.52716000142072e+001dB,9.53758002796448e-004°)
2.05116217882553e-001	(-2.52716000142016e+001dB,9.55956642061207e-004°)
2.05589059598411e-001	(-2.52716000141960e+001dB,9.58160349712877e-004°)
2.06062991326997e-001	(-2.52716000141899e+001dB,9.60369137435306e-004°)
2.06538015581050e-001	(-2.52716000141842e+001dB,9.62583016939356e-004°)
2.07014134879101e-001	(-2.52716000141786e+001dB,9.64801999962718e-004°)
2.07491351745488e-001	(-2.52716000141735e+001dB,9.67026098270302e-004°)
2.07969668710366e-001	(-2.52716000141666e+001dB,9.69255323653809e-004°)
2.08449088309725e-001	(-2.52716000141614e+001dB,9.71489687932748e-004°)
2.08929613085400e-001	(-2.52716000141551e+001dB,9.73729202953181e-004°)
2.09411245585086e-001	(-2.52716000141499e+001dB,9.75973880588978e-004°)
2.09893988362349e-001	(-2.52716000141435e+001dB,9.78223732741048e-004°)
2.10377843976644e-001	(-2.52716000141377e+001dB,9.80478771338034e-004°)
