time	V(vout)	V(n001)
8.003338586152102e-002	2.225433e+000	2.099666e+001
8.004338586152102e-002	2.168641e+000	2.099566e+001
8.005338586152101e-002	2.108916e+000	2.099466e+001
8.006338586152101e-002	2.056016e+000	2.099366e+001
8.007338586152100e-002	2.013658e+000	2.099266e+001
8.008338586152100e-002	1.977645e+000	2.099166e+001
8.009338586152100e-002	1.941074e+000	2.099066e+001
8.010338586152099e-002	1.904099e+000	2.098966e+001
8.011338586152099e-002	1.868677e+000	2.098866e+001
8.012338586152099e-002	1.835443e+000	2.098766e+001
8.013338586152098e-002	1.804036e+000	2.098666e+001
8.014338586152098e-002	1.775860e+000	2.098566e+001
8.015338586152097e-002	1.775843e+000	2.098466e+001
8.016338586152097e-002	1.840514e+000	2.098366e+001
8.017338586152097e-002	1.941229e+000	2.098266e+001
8.018338586152096e-002	2.007872e+000	2.098166e+001
8.019338586152096e-002	2.024663e+000	2.098066e+001
8.020338586152095e-002	2.018775e+000	2.097966e+001
8.021338586152095e-002	2.010086e+000	2.097866e+001
8.022338586152095e-002	2.005276e+000	2.097766e+001
8.023338586152094e-002	2.004589e+000	2.097666e+001
8.024338586152094e-002	2.005924e+000	2.097566e+001
8.025338586152093e-002	2.007290e+000	2.097466e+001
8.026338586152093e-002	2.007911e+000	2.097366e+001
8.027338586152093e-002	2.007905e+000	2.097266e+001
8.028338586152092e-002	2.007677e+000	2.097166e+001
8.029338586152092e-002	2.007497e+000	2.097066e+001
8.030338586152092e-002	2.007439e+000	2.096966e+001
8.031338586152091e-002	2.007460e+000	2.096866e+001
8.032338586152091e-002	2.007501e+000	2.096766e+001
8.034338586152090e-002	2.007536e+000	2.096566e+001
8.036624300437803e-002	2.007537e+000	2.096338e+001
8.038910014723517e-002	2.007539e+000	2.096109e+001
8.041195729009230e-002	2.007540e+000	2.095880e+001
8.043481443294943e-002	2.007542e+000	2.095652e+001
8.045767157580656e-002	2.007544e+000	2.095423e+001
8.048052871866371e-002	2.007547e+000	2.095195e+001
8.050338586152084e-002	2.007549e+000	2.094966e+001
8.062624300437793e-002	2.007550e+000	2.093738e+001
