time	V(vin)	V(vout)
1.515209439468832e-002	2.098479e+001	2.028676e+000
1.516209439468832e-002	2.098379e+001	2.028682e+000
1.517209439468832e-002	2.098279e+001	2.028687e+000
1.518209439468832e-002	2.098179e+001	2.028690e+000
1.519209439468833e-002	2.098079e+001	2.028694e+000
1.520209439468833e-002	2.097979e+001	2.028698e+000
1.521209439468833e-002	2.097879e+001	2.028698e+000
1.522209439468834e-002	2.097779e+001	2.028697e+000
1.523209439468834e-002	2.097679e+001	2.028697e+000
1.524209439468834e-002	2.097579e+001	2.028696e+000
1.525209439468835e-002	2.097479e+001	2.028693e+000
1.526209439468835e-002	2.097379e+001	2.028691e+000
1.527209439468835e-002	2.097279e+001	2.028690e+000
1.528209439468835e-002	2.097179e+001	2.028688e+000
1.529209439468836e-002	2.097079e+001	2.028687e+000
1.530209439468836e-002	2.096979e+001	2.028686e+000
1.531209439468836e-002	2.096879e+001	2.028686e+000
1.532209439468837e-002	2.096779e+001	2.028684e+000
1.533209439468837e-002	2.096679e+001	2.028684e+000
1.534209439468837e-002	2.096579e+001	2.028684e+000
1.535209439468838e-002	2.096479e+001	2.028682e+000
1.536209439468838e-002	2.096379e+001	2.028682e+000
1.537209439468838e-002	2.096279e+001	2.028681e+000
1.538209439468839e-002	2.096179e+001	2.028680e+000
1.539209439468839e-002	2.096079e+001	2.028679e+000
1.540209439468839e-002	2.095979e+001	2.028678e+000
1.541209439468839e-002	2.095879e+001	2.028678e+000
1.542209439468840e-002	2.095779e+001	2.028677e+000
1.543209439468840e-002	2.095679e+001	2.028676e+000
1.544209439468840e-002	2.095579e+001	2.028675e+000
1.545209439468841e-002	2.095479e+001	2.028674e+000
1.546209439468841e-002	2.095379e+001	2.028673e+000
1.547209439468841e-002	2.095279e+001	2.028672e+000
1.548209439468842e-002	2.095179e+001	2.028672e+000
1.549209439468842e-002	2.095079e+001	2.028671e+000
1.550209439468842e-002	2.094979e+001	2.028670e+000
1.551209439468843e-002	2.094879e+001	2.028669e+000
1.552209439468843e-002	2.094779e+001	2.028668e+000
1.553209439468843e-002	2.094679e+001	2.028667e+000
1.554209439468843e-002	2.094579e+001	2.028666e+000
1.555209439468844e-002	2.094479e+001	2.028666e+000
1.556209439468844e-002	2.094379e+001	2.028665e+000
1.557209439468844e-002	2.094279e+001	2.028664e+000
1.558209439468845e-002	2.094179e+001	2.028663e+000
