Freq.	V(vout)/I(Ip)
1.34023267326732e+003	-1.49181542113718e-002,1.79396222441430e-001
1.35023366336633e+003	-1.51556487131670e-002,1.80743666798067e-001
1.36023465346534e+003	-1.53949110624255e-002,1.82091322903604e-001
1.37023564356435e+003	-1.56359409266424e-002,1.83439192605496e-001
1.38023663366336e+003	-1.58787379661109e-002,1.84787277748519e-001
1.39023762376237e+003	-1.61233018339808e-002,1.86135580174836e-001
1.40023861386138e+003	-1.63696321764336e-002,1.87484101723754e-001
1.41023960396039e+003	-1.66177286326683e-002,1.88832844231834e-001
1.42024059405940e+003	-1.68675908350818e-002,1.90181809532706e-001
1.43024158415841e+003	-1.71192184093323e-002,1.91530999457113e-001
1.44024257425742e+003	-1.73726109743931e-002,1.92880415832819e-001
1.45024356435643e+003	-1.76277681426476e-002,1.94230060484646e-001
1.46024455445544e+003	-1.78846895200977e-002,1.95579935234172e-001
1.47024554455445e+003	-1.81433747062600e-002,1.96930041900044e-001
1.48024653465346e+003	-1.84038232943640e-002,1.98280382297738e-001
1.49024752475247e+003	-1.86660348715226e-002,1.99630958239323e-001
1.50024851485148e+003	-1.89300090185970e-002,2.00981771533973e-001
1.51024950495049e+003	-1.91957453104518e-002,2.02332823987441e-001
1.52025049504950e+003	-1.94632433160059e-002,2.03684117402137e-001
1.53025148514851e+003	-1.97325025983221e-002,2.05035653577243e-001
1.54025247524752e+003	-2.00035227146188e-002,2.06387434308554e-001
1.55025346534653e+003	-2.02763032164334e-002,2.07739461388519e-001
1.56025445544554e+003	-2.05508436496562e-002,2.09091736606221e-001
1.57025544554455e+003	-2.08271435546358e-002,2.10444261747256e-001
1.58025643564356e+003	-2.11052024662512e-002,2.11797038593813e-001
1.59025742574257e+003	-2.13850199139619e-002,2.13150068924645e-001
1.60025841584158e+003	-2.16665954219693e-002,2.14503354514927e-001
1.61025940594059e+003	-2.19499285091359e-002,2.15856897136460e-001
1.62026039603960e+003	-2.22350186891947e-002,2.17210698557594e-001
1.63026138613861e+003	-2.25218654708081e-002,2.18564760542972e-001
1.64026237623762e+003	-2.28104683575651e-002,2.19919084853822e-001
1.65026336633663e+003	-2.31008268481339e-002,2.21273673247810e-001
1.66026435643564e+003	-2.33929404362467e-002,2.22628527479062e-001
1.67026534653465e+003	-2.36868086108526e-002,2.23983649298197e-001
1.68026633663366e+003	-2.39824308561876e-002,2.25339040452042e-001
1.69026732673267e+003	-2.42798066517055e-002,2.26694702684154e-001
1.70026831683168e+003	-2.45789354722919e-002,2.28050637734350e-001
1.71026930693069e+003	-2.48798167882836e-002,2.29406847338951e-001
1.72027029702970e+003	-2.51824500654883e-002,2.30763333230517e-001
1.73027128712871e+003	-2.54868347653528e-002,2.32120097138189e-001
1.74027227722772e+003	-2.57929703448249e-002,2.33477140787610e-001
1.75027326732673e+003	-2.61008562566339e-002,2.34834465900615e-001
1.76027425742574e+003	-2.64104919492643e-002,2.36192074195510e-001
1.77027524752475e+003	-2.67218768669310e-002,2.37549967387167e-001
1.78027623762376e+003	-2.70350104497626e-002,2.38908147186688e-001
1.79027722772277e+003	-2.73498921337966e-002,2.40266615301673e-001
1.80027821782178e+003	-2.76665213510136e-002,2.41625373436201e-001
1.81027920792079e+003	-2.79848975293806e-002,2.42984423290841e-001
1.82028019801980e+003	-2.83050200930608e-002,2.44343766562255e-001
1.83028118811881e+003	-2.86268884622211e-002,2.45703404943954e-001
1.84028217821782e+003	-2.89505020532451e-002,2.47063340125679e-001
1.85028316831683e+003	-2.92758602787462e-002,2.48423573793682e-001
1.86028415841584e+003	-2.96029625475983e-002,2.49784107630628e-001
1.87028514851485e+003	-2.99318082649837e-002,2.51144943315723e-001
1.88028613861386e+003	-3.02623968324947e-002,2.52506082524560e-001
1.89028712871287e+003	-3.05947276480295e-002,2.53867526929352e-001
1.90028811881188e+003	-3.09288001060845e-002,2.55229278198596e-001
1.91028910891089e+003	-3.12646135975031e-002,2.56591337997585e-001
1.92029009900990e+003	-3.16021675097979e-002,2.57953707987706e-001
1.93029108910891e+003	-3.19414612270044e-002,2.59316389827222e-001
1.94029207920792e+003	-3.22824941297541e-002,2.60679385170807e-001
1.95029306930693e+003	-3.26252655953588e-002,2.62042695669673e-001
1.96029405940594e+003	-3.29697749978712e-002,2.63406322971567e-001
1.97029504950495e+003	-3.33160217080289e-002,2.64770268720792e-001
1.98029603960396e+003	-3.36640050933881e-002,2.66134534558208e-001
1.99029702970297e+003	-3.40137245182495e-002,2.67499122121324e-001
2.00029801980198e+003	-3.43651793438355e-002,2.68864033044216e-001
2.01029900990099e+003	-3.47183689282496e-002,2.70229268957434e-001
2.02030000000000e+003	-3.50732926264951e-002,2.71594831488214e-001
2.03030099009901e+003	-3.54299497904388e-002,2.72960722260729e-001
2.04030198019802e+003	-3.57883397691193e-002,2.74326942895142e-001
2.05030297029703e+003	-3.61484619084313e-002,2.75693495008864e-001
2.06030396039604e+003	-3.65103155513452e-002,2.77060380215645e-001
2.07030495049505e+003	-3.68739000379945e-002,2.78427600125940e-001
2.08030594059405e+003	-3.72392147055189e-002,2.79795156347019e-001
2.09030693069306e+003	-3.76062588883034e-002,2.81163050482633e-001
2.10030792079207e+003	-3.79750319177619e-002,2.82531284133540e-001
2.11030891089108e+003	-3.83455331226048e-002,2.83899858896879e-001
2.12030990099009e+003	-3.87177618287782e-002,2.85268776366671e-001
2.13031089108910e+003	-3.90917173593618e-002,2.86638038133796e-001
2.14031188118811e+003	-3.94673990348591e-002,2.88007645785637e-001
2.15031287128712e+003	-3.98448061729551e-002,2.89377600906537e-001
2.16031386138613e+003	-4.02239380887280e-002,2.90747905077520e-001
2.17031485148514e+003	-4.06047940945881e-002,2.92118559876409e-001
2.18031584158415e+003	-4.09873735003105e-002,2.93489566877922e-001
2.19031683168316e+003	-4.13716756130952e-002,2.94860927653334e-001
2.20031782178217e+003	-4.17576997375727e-002,2.96232643771037e-001
2.21031881188118e+003	-4.21454451757382e-002,2.97604716796067e-001
