rl	V(vout)	-I(Rl)
3.610000000099967e+000	2.027608e+000	5.616642e-001
3.620000000099967e+000	2.027608e+000	5.601127e-001
3.630000000099967e+000	2.027608e+000	5.585698e-001
3.640000000099966e+000	2.027609e+000	5.570354e-001
3.650000000099966e+000	2.027609e+000	5.555094e-001
3.660000000099966e+000	2.027610e+000	5.539917e-001
3.670000000099966e+000	2.027610e+000	5.524823e-001
3.680000000099966e+000	2.027610e+000	5.509811e-001
3.690000000099965e+000	2.027611e+000	5.494880e-001
3.700000000099965e+000	2.027611e+000	5.480030e-001
3.710000000099965e+000	2.027611e+000	5.465260e-001
3.720000000099965e+000	2.027664e+000	5.450711e-001
3.730000000099965e+000	2.027613e+000	5.435959e-001
3.740000000099964e+000	2.027613e+000	5.421424e-001
3.750000000099964e+000	2.027613e+000	5.406968e-001
3.760000000099964e+000	2.027613e+000	5.392589e-001
3.770000000099964e+000	2.027614e+000	5.378286e-001
3.780000000099963e+000	2.027614e+000	5.364059e-001
3.790000000099963e+000	2.027615e+000	5.349907e-001
3.800000000099963e+000	2.027615e+000	5.335829e-001
3.810000000099963e+000	2.027615e+000	5.321825e-001
3.820000000099963e+000	2.027616e+000	5.307894e-001
3.830000000099962e+000	2.027616e+000	5.294037e-001
3.840000000099962e+000	2.027617e+000	5.280251e-001
3.850000000099962e+000	2.027617e+000	5.266537e-001
3.860000000099962e+000	2.027617e+000	5.252894e-001
3.870000000099962e+000	2.027617e+000	5.239322e-001
3.880000000099961e+000	2.027618e+000	5.225819e-001
3.890000000099961e+000	2.027618e+000	5.212386e-001
3.900000000099961e+000	2.027618e+000	5.199022e-001
3.910000000099961e+000	2.027619e+000	5.185726e-001
3.920000000099960e+000	2.027619e+000	5.172498e-001
3.930000000099960e+000	2.027620e+000	5.159338e-001
3.940000000099960e+000	2.027620e+000	5.146244e-001
3.950000000099960e+000	2.027620e+000	5.133216e-001
3.960000000099960e+000	2.027621e+000	5.120254e-001
3.970000000099959e+000	2.027621e+000	5.107358e-001
3.980000000099959e+000	2.027621e+000	5.094526e-001
3.990000000099959e+000	2.027622e+000	5.081758e-001
4.000000000099959e+000	2.027622e+000	5.069055e-001
4.010000000099959e+000	2.027629e+000	5.056432e-001
4.020000000099959e+000	2.027622e+000	5.043837e-001
4.030000000099959e+000	2.027623e+000	5.031322e-001
4.040000000099958e+000	2.027623e+000	5.018870e-001
4.050000000099958e+000	2.027624e+000	5.006478e-001
4.060000000099958e+000	2.027624e+000	4.994147e-001
4.070000000099958e+000	2.027624e+000	4.981878e-001
