riadj	-I(Rl)
3.920000000000100e+003	6.932631e-001
3.930000000000100e+003	6.920918e-001
3.940000000000100e+003	6.909247e-001
3.950000000000100e+003	6.897615e-001
3.960000000000100e+003	6.886021e-001
3.970000000000100e+003	6.874467e-001
3.980000000000100e+003	6.862951e-001
3.990000000000100e+003	6.851473e-001
4.000000000000100e+003	6.840035e-001
4.010000000000100e+003	6.828634e-001
4.020000000000100e+003	6.817270e-001
4.030000000000100e+003	6.805944e-001
4.040000000000100e+003	6.794657e-001
4.050000000000100e+003	6.783406e-001
4.060000000000100e+003	6.772192e-001
4.070000000000100e+003	6.761016e-001
4.080000000000100e+003	6.749876e-001
4.090000000000100e+003	6.738772e-001
4.100000000000100e+003	6.727705e-001
4.110000000000100e+003	6.716675e-001
4.120000000000100e+003	6.705679e-001
4.130000000000100e+003	6.694721e-001
4.140000000000100e+003	6.683798e-001
4.150000000000100e+003	6.672910e-001
4.160000000000100e+003	6.662058e-001
4.170000000000100e+003	6.651240e-001
4.180000000000100e+003	6.640459e-001
4.190000000000100e+003	6.629711e-001
4.200000000000100e+003	6.618998e-001
4.210000000000100e+003	6.608320e-001
4.220000000000100e+003	6.597676e-001
4.230000000000100e+003	6.587067e-001
4.240000000000100e+003	6.576492e-001
4.250000000000100e+003	6.565950e-001
4.260000000000100e+003	6.555441e-001
4.270000000000100e+003	6.544967e-001
4.280000000000100e+003	6.534526e-001
4.290000000000100e+003	6.524118e-001
4.300000000000100e+003	6.513743e-001
4.310000000000100e+003	6.503401e-001
4.320000000000100e+003	6.493092e-001
4.330000000000100e+003	6.482815e-001
4.340000000000100e+003	6.472571e-001
4.350000000000100e+003	6.462358e-001
4.360000000000100e+003	6.452178e-001
4.370000000000100e+003	6.442030e-001
4.380000000000100e+003	6.431913e-001
4.390000000000100e+003	6.421829e-001
4.400000000000100e+003	6.411776e-001
4.410000000000100e+003	6.401755e-001
4.420000000000100e+003	6.391764e-001
4.430000000000100e+003	6.381804e-001
4.440000000000100e+003	6.371876e-001
4.450000000000100e+003	6.361979e-001
4.460000000000100e+003	6.352111e-001
4.470000000000100e+003	6.342275e-001
4.480000000000100e+003	6.332469e-001
4.490000000000100e+003	6.322693e-001
4.500000000000100e+003	6.312947e-001
4.510000000000100e+003	6.303230e-001
4.520000000000100e+003	6.293545e-001
4.530000000000100e+003	6.283888e-001
4.540000000000100e+003	6.274261e-001
4.550000000000100e+003	6.264663e-001
4.560000000000100e+003	6.255095e-001
4.570000000000100e+003	6.245556e-001
4.580000000000100e+003	6.236046e-001
4.590000000000100e+003	6.226564e-001
4.600000000000100e+003	6.217112e-001
4.610000000000100e+003	6.207688e-001
4.620000000000100e+003	6.198292e-001
4.630000000000100e+003	6.188926e-001
4.640000000000100e+003	6.179586e-001
4.650000000000100e+003	6.170276e-001
4.660000000000100e+003	6.160992e-001
4.670000000000100e+003	6.151738e-001
4.680000000000100e+003	6.142510e-001
4.690000000000100e+003	6.133310e-001
4.700000000000100e+003	6.124138e-001
4.710000000000100e+003	6.114992e-001
4.720000000000100e+003	6.105875e-001
4.730000000000100e+003	6.096784e-001
4.740000000000100e+003	6.087720e-001
4.750000000000100e+003	6.078683e-001
4.760000000000100e+003	6.069673e-001
4.770000000000100e+003	6.060690e-001
4.780000000000100e+003	6.051733e-001
4.790000000000100e+003	6.042802e-001
