time	V(in1)	V(in2)	V(out)
6.000004081474808e-003	0.000000e+000	1.000000e+000	5.380703e-001
6.000005029211900e-003	0.000000e+000	1.000000e+000	5.879030e-001
6.000006250612788e-003	0.000000e+000	1.000000e+000	6.802259e-001
6.000007412824335e-003	0.000000e+000	1.000000e+000	7.789140e-001
6.000008639289289e-003	0.000000e+000	1.000000e+000	8.781173e-001
6.000009769082387e-003	0.000000e+000	1.000000e+000	9.513672e-001
6.000011041682937e-003	0.000000e+000	1.000000e+000	1.004846e+000
6.000012644435484e-003	0.000000e+000	1.000000e+000	1.037197e+000
6.000014464143640e-003	0.000000e+000	1.000000e+000	1.045687e+000
6.000016208196963e-003	0.000000e+000	1.000000e+000	1.039118e+000
6.000018193291315e-003	0.000000e+000	1.000000e+000	1.025962e+000
6.000020567371086e-003	0.000000e+000	1.000000e+000	1.011456e+000
6.000023982701165e-003	0.000000e+000	1.000000e+000	9.973692e-001
6.000029198241935e-003	0.000000e+000	1.000000e+000	9.873708e-001
6.000039629323473e-003	0.000000e+000	1.000000e+000	9.818484e-001
6.000050015697937e-003	0.000000e+000	1.000000e+000	9.810287e-001
6.000069089184534e-003	0.000000e+000	1.000000e+000	9.810772e-001
6.000102325928032e-003	0.000000e+000	1.000000e+000	9.810661e-001
6.000168799415028e-003	0.000000e+000	1.000000e+000	9.810718e-001
6.000301746389021e-003	0.000000e+000	1.000000e+000	9.810693e-001
6.000567640337007e-003	0.000000e+000	1.000000e+000	9.810705e-001
6.001099428232980e-003	0.000000e+000	1.000000e+000	9.810699e-001
6.004290155608812e-003	0.000000e+000	1.000000e+000	9.810700e-001
6.993481130224266e-003	0.000000e+000	1.000000e+000	9.810700e-001
6.995850239551469e-003	0.000000e+000	1.000000e+000	9.811024e-001
6.995851239551470e-003	0.000000e+000	1.000000e+000	9.810967e-001
6.995853239551471e-003	0.000000e+000	1.000000e+000	9.810827e-001
6.995857239551472e-003	0.000000e+000	1.000000e+000	9.810748e-001
6.995865239551475e-003	0.000000e+000	1.000000e+000	9.810694e-001
6.995881239551480e-003	0.000000e+000	1.000000e+000	9.810700e-001
6.995913239551491e-003	0.000000e+000	1.000000e+000	9.810700e-001
6.995977239551513e-003	0.000000e+000	1.000000e+000	9.810700e-001
6.996105239551556e-003	0.000000e+000	1.000000e+000	9.810700e-001
6.996361239551644e-003	0.000000e+000	1.000000e+000	9.810700e-001
6.997897239552168e-003	0.000000e+000	1.000000e+000	9.810700e-001
6.998061520893570e-003	0.000000e+000	1.000000e+000	9.810700e-001
6.998280562682108e-003	0.000000e+000	1.000000e+000	9.810700e-001
6.998718646259182e-003	0.000000e+000	1.000000e+000	9.810700e-001
6.999123832845852e-003	0.000000e+000	1.000000e+000	9.810700e-001
6.999321214788278e-003	0.000000e+000	1.000000e+000	9.810700e-001
6.999584390711512e-003	0.000000e+000	1.000000e+000	9.810655e-001
6.999585390711513e-003	0.000000e+000	1.000000e+000	9.810678e-001
6.999587390711513e-003	0.000000e+000	1.000000e+000	9.810712e-001
6.999591390711515e-003	0.000000e+000	1.000000e+000	9.810694e-001
6.999599390711517e-003	0.000000e+000	1.000000e+000	9.810703e-001
6.999615390711523e-003	0.000000e+000	1.000000e+000	9.810699e-001
6.999647390711534e-003	0.000000e+000	1.000000e+000	9.810701e-001
6.999711390711556e-003	0.000000e+000	1.000000e+000	9.810700e-001
6.999839390711599e-003	0.000000e+000	1.000000e+000	9.810657e-001
6.999840390711600e-003	0.000000e+000	1.000000e+000	9.810678e-001
6.999842390711600e-003	0.000000e+000	1.000000e+000	9.810711e-001
6.999846390711602e-003	0.000000e+000	1.000000e+000	9.810695e-001
6.999854390711604e-003	0.000000e+000	1.000000e+000	9.810703e-001
6.999870390711610e-003	0.000000e+000	1.000000e+000	9.810699e-001
6.999902390711621e-003	0.000000e+000	1.000000e+000	9.810700e-001
6.999935999999978e-003	0.000000e+000	1.000000e+000	9.810739e-001
6.999936999999979e-003	0.000000e+000	1.000000e+000	9.810721e-001
6.999938999999979e-003	0.000000e+000	1.000000e+000	9.810690e-001
6.999942999999981e-003	0.000000e+000	1.000000e+000	9.810705e-001
6.999950999999983e-003	0.000000e+000	1.000000e+000	9.810698e-001
6.999966999999989e-003	0.000000e+000	1.000000e+000	9.810665e-001
6.999967999999989e-003	0.000000e+000	1.000000e+000	9.810681e-001
6.999969999999990e-003	0.000000e+000	1.000000e+000	9.810709e-001
6.999973999999991e-003	0.000000e+000	1.000000e+000	9.810696e-001
6.999981999999994e-003	0.000000e+000	1.000000e+000	9.810687e-001
6.999987999999996e-003	0.000000e+000	1.000000e+000	9.810700e-001
6.999991999999997e-003	0.000000e+000	1.000000e+000	9.810725e-001
6.999992999999998e-003	0.000000e+000	1.000000e+000	9.810717e-001
6.999994999999998e-003	0.000000e+000	1.000000e+000	9.810716e-001
6.999995999999999e-003	0.000000e+000	1.000000e+000	9.810716e-001
6.999998000000000e-003	0.000000e+000	1.000000e+000	9.810715e-001
6.999999000000000e-003	0.000000e+000	1.000000e+000	9.810700e-001
7.000000000000000e-003	0.000000e+000	1.000000e+000	9.812213e-001
7.000000100000001e-003	1.100000e-001	1.000000e+000	1.027190e+000
7.000000300000001e-003	3.300000e-001	1.000000e+000	1.119135e+000
7.000000600000000e-003	6.600000e-001	1.000000e+000	1.248289e+000
7.000001000000001e-003	1.100000e+000	1.000000e+000	1.406757e+000
7.000001040000000e-003	1.100000e+000	1.000000e+000	1.404199e+000
7.000001120000000e-003	1.100000e+000	1.000000e+000	1.395415e+000
7.000001280000000e-003	1.100000e+000	1.000000e+000	1.375298e+000
7.000001600000001e-003	1.100000e+000	1.000000e+000	1.340212e+000
7.000002240000001e-003	1.100000e+000	1.000000e+000	1.284125e+000
7.000002876667241e-003	1.100000e+000	1.000000e+000	1.242642e+000
7.000003675862331e-003	1.100000e+000	1.000000e+000	1.206508e+000
7.000004606960366e-003	1.100000e+000	1.000000e+000	1.178034e+000
7.000005871252669e-003	1.100000e+000	1.000000e+000	1.153002e+000
7.000007414050103e-003	1.100000e+000	1.000000e+000	1.133587e+000
7.000009557998153e-003	1.100000e+000	1.000000e+000	1.116338e+000
7.000012275087864e-003	1.100000e+000	1.000000e+000	1.100487e+000
7.000016290868189e-003	1.100000e+000	1.000000e+000	1.079081e+000
7.000021136318841e-003	1.100000e+000	1.000000e+000	1.057142e+000
7.000027671125382e-003	1.100000e+000	1.000000e+000	1.046967e+000
7.000034635723149e-003	1.100000e+000	1.000000e+000	1.058340e+000
7.000042191365482e-003	1.100000e+000	1.000000e+000	1.074480e+000
7.000050034728871e-003	1.100000e+000	1.000000e+000	1.080971e+000
7.000059338912646e-003	1.100000e+000	1.000000e+000	1.081430e+000
7.000075168214097e-003	1.100000e+000	1.000000e+000	1.080905e+000
7.000095997896810e-003	1.100000e+000	1.000000e+000	1.080765e+000
7.000137657262236e-003	1.100000e+000	1.000000e+000	1.080781e+000
7.000220975993088e-003	1.100000e+000	1.000000e+000	1.080779e+000
7.000387613454793e-003	1.100000e+000	1.000000e+000	1.080780e+000
7.000720888378204e-003	1.100000e+000	1.000000e+000	1.080780e+000
7.993408477838969e-003	1.100000e+000	1.000000e+000	1.080780e+000
7.995998544322060e-003	1.100000e+000	1.000000e+000	1.080787e+000
7.995999544322062e-003	1.100000e+000	1.000000e+000	1.080784e+000
7.996001544322064e-003	1.100000e+000	1.000000e+000	1.080780e+000
7.996005544322069e-003	1.100000e+000	1.000000e+000	1.080780e+000
7.996013544322079e-003	1.100000e+000	1.000000e+000	1.080779e+000
7.996029544322098e-003	1.100000e+000	1.000000e+000	1.080779e+000
7.996061544322137e-003	1.100000e+000	1.000000e+000	1.080779e+000
7.996125544322214e-003	1.100000e+000	1.000000e+000	1.080779e+000
7.996253544322369e-003	1.100000e+000	1.000000e+000	1.080779e+000
7.997021544323297e-003	1.100000e+000	1.000000e+000	1.080779e+000
7.998045544324534e-003	1.100000e+000	1.000000e+000	1.080776e+000
7.998046544324535e-003	1.100000e+000	1.000000e+000	1.080778e+000
7.998048544324538e-003	1.100000e+000	1.000000e+000	1.080780e+000
7.998052544324542e-003	1.100000e+000	1.000000e+000	1.080779e+000
7.998060544324552e-003	1.100000e+000	1.000000e+000	1.080780e+000
7.998076544324571e-003	1.100000e+000	1.000000e+000	1.080779e+000
7.998108544324610e-003	1.100000e+000	1.000000e+000	1.080779e+000
7.998172544324687e-003	1.100000e+000	1.000000e+000	1.080779e+000
7.998300544324842e-003	1.100000e+000	1.000000e+000	1.080779e+000
7.998556544325151e-003	1.100000e+000	1.000000e+000	1.080779e+000
7.999068544325770e-003	1.100000e+000	1.000000e+000	1.080776e+000
7.999069544325771e-003	1.100000e+000	1.000000e+000	1.080778e+000
7.999071544325774e-003	1.100000e+000	1.000000e+000	1.080780e+000
7.999075544325779e-003	1.100000e+000	1.000000e+000	1.080779e+000
7.999083544325788e-003	1.100000e+000	1.000000e+000	1.080780e+000
7.999099544325808e-003	1.100000e+000	1.000000e+000	1.080779e+000
7.999131544325846e-003	1.100000e+000	1.000000e+000	1.080779e+000
7.999195544325924e-003	1.100000e+000	1.000000e+000	1.080779e+000
7.999323544326078e-003	1.100000e+000	1.000000e+000	1.080779e+000
7.999579544326388e-003	1.100000e+000	1.000000e+000	1.080782e+000
7.999580544326389e-003	1.100000e+000	1.000000e+000	1.080781e+000
7.999582544326391e-003	1.100000e+000	1.000000e+000	1.080779e+000
7.999586544326396e-003	1.100000e+000	1.000000e+000	1.080780e+000
