time	-I(Rl)	V(vout)
3.077343475117529e-03	2.054154e+00	2.054154e-03
3.084179412617529e-03	2.054154e+00	2.054154e-03
3.091015350117529e-03	2.054154e+00	2.054154e-03
3.104687225117529e-03	2.054154e+00	2.054154e-03
3.111523162617529e-03	2.054154e+00	2.054154e-03
3.118359100117529e-03	2.054154e+00	2.054154e-03
3.125195037617529e-03	2.054154e+00	2.054154e-03
3.132030975117529e-03	2.054154e+00	2.054154e-03
3.138866912617529e-03	2.054154e+00	2.054154e-03
3.145702850117529e-03	2.054154e+00	2.054154e-03
3.152538787617529e-03	2.054154e+00	2.054154e-03
3.159374725117529e-03	2.054154e+00	2.054154e-03
3.166210662617529e-03	2.054154e+00	2.054154e-03
3.173046600117529e-03	2.054154e+00	2.054154e-03
3.179882537617529e-03	2.054154e+00	2.054154e-03
3.193554412617529e-03	2.054154e+00	2.054154e-03
3.207226287617529e-03	2.054154e+00	2.054154e-03
3.214062225117529e-03	2.054154e+00	2.054154e-03
3.220898162617529e-03	2.054154e+00	2.054154e-03
3.227734100117529e-03	2.054154e+00	2.054154e-03
3.234570037617529e-03	2.054154e+00	2.054154e-03
3.241405975117529e-03	2.054154e+00	2.054154e-03
3.248241912617529e-03	2.054154e+00	2.054154e-03
3.255077850117529e-03	2.054154e+00	2.054154e-03
3.261913787617529e-03	2.054154e+00	2.054154e-03
3.268749725117529e-03	2.054154e+00	2.054154e-03
3.282421600117529e-03	2.054154e+00	2.054154e-03
3.296093475117529e-03	2.054154e+00	2.054154e-03
3.309765350117529e-03	2.054154e+00	2.054154e-03
3.323437225117529e-03	2.054154e+00	2.054154e-03
3.330273162617529e-03	2.054154e+00	2.054154e-03
3.343945037617529e-03	2.054154e+00	2.054154e-03
3.357616912617529e-03	2.054154e+00	2.054154e-03
3.371288787617529e-03	2.054154e+00	2.054154e-03
3.384960662617529e-03	2.054154e+00	2.054154e-03
3.405468475117529e-03	2.054154e+00	2.054154e-03
3.419140350117529e-03	2.054154e+00	2.054154e-03
3.432812225117529e-03	2.054154e+00	2.054154e-03
3.453320037617529e-03	2.054154e+00	2.054154e-03
3.993359100117529e-03	2.054154e+00	2.054154e-03
4.000000000000000e-03	1.029138e+00	9.531407e-01
4.000013351440430e-03	5.886612e-03	1.905058e+00
4.000013428404278e-03	1.931532e-10	1.912408e+00
4.000013582331976e-03	1.937517e-10	1.918334e+00
4.000013724622296e-03	1.940462e-10	1.921249e+00
4.000013870847708e-03	1.942107e-10	1.922878e+00
4.000014080342036e-03	1.943991e-10	1.924743e+00
4.000014295944453e-03	1.945628e-10	1.926365e+00
4.000014663996027e-03	1.947945e-10	1.928659e+00
4.000015139635223e-03	1.950279e-10	1.930970e+00
4.000016090913614e-03	1.953396e-10	1.934056e+00
4.000017852550814e-03	1.956401e-10	1.937031e+00
4.000020019020102e-03	1.957354e-10	1.937974e+00
4.000022711425547e-03	1.956470e-10	1.937099e+00
4.000025792338929e-03	1.954550e-10	1.935198e+00
4.000029612613162e-03	1.951843e-10	1.932518e+00
4.000032376977978e-03	1.949799e-10	1.930494e+00
4.000034673413698e-03	1.948116e-10	1.928828e+00
4.000037606903796e-03	1.946043e-10	1.926775e+00
4.000039295048865e-03	1.944868e-10	1.925611e+00
4.000041132851306e-03	1.943592e-10	1.924348e+00
4.000043347595208e-03	1.942058e-10	1.922830e+00
4.000046136672533e-03	1.940132e-10	1.920923e+00
4.000049348112340e-03	1.937918e-10	1.918731e+00
4.000053595729842e-03	1.934993e-10	1.915835e+00
