Freq.	V(out)
1.04531077434820e-002	-2.42196937239784e-001,1.61120405494450e-001
1.04576951007742e-002	-2.42403220963323e-001,1.61233350504400e-001
1.04622844712330e-002	-2.42609674829704e-001,1.61346399249764e-001
1.04668758557418e-002	-2.42816298969534e-001,1.61459551844240e-001
1.04714692551846e-002	-2.43023093513502e-001,1.61572808401692e-001
1.04760646704455e-002	-2.43230058592379e-001,1.61686169036108e-001
1.04806621024092e-002	-2.43437194337019e-001,1.61799633861593e-001
1.04852615519607e-002	-2.43644500878361e-001,1.61913202992404e-001
1.04898630199855e-002	-2.43851978347423e-001,1.62026876542929e-001
1.04944665073694e-002	-2.44059626875311e-001,1.62140654627680e-001
1.04990720149985e-002	-2.44267446593210e-001,1.62254537361321e-001
1.05036795437595e-002	-2.44475437632390e-001,1.62368524858624e-001
1.05082890945393e-002	-2.44683600124203e-001,1.62482617234518e-001
1.05129006682253e-002	-2.44891934200086e-001,1.62596814604058e-001
1.05175142657052e-002	-2.45100439991557e-001,1.62711117082435e-001
1.05221298878673e-002	-2.45309117630219e-001,1.62825524784960e-001
1.05267475355999e-002	-2.45517967247757e-001,1.62940037827102e-001
1.05313672097921e-002	-2.45726988975939e-001,1.63054656324466e-001
1.05359889113332e-002	-2.45936182946616e-001,1.63169380392760e-001
1.05406126411129e-002	-2.46145549291726e-001,1.63284210147863e-001
1.05452384000212e-002	-2.46355088143283e-001,1.63399145705773e-001
1.05498661889486e-002	-2.46564799633391e-001,1.63514187182619e-001
1.05544960087861e-002	-2.46774683894234e-001,1.63629334694677e-001
1.05591278604248e-002	-2.46984741058080e-001,1.63744588358354e-001
1.05637617447565e-002	-2.47194971257281e-001,1.63859948290195e-001
1.05683976626733e-002	-2.47405374624271e-001,1.63975414606873e-001
1.05730356150674e-002	-2.47615951291569e-001,1.64090987425210e-001
1.05776756028318e-002	-2.47826701391775e-001,1.64206666862153e-001
1.05823176268597e-002	-2.48037625057575e-001,1.64322453034796e-001
1.05869616880447e-002	-2.48248722421737e-001,1.64438346060368e-001
1.05916077872809e-002	-2.48459993617111e-001,1.64554346056222e-001
1.05962559254625e-002	-2.48671438776636e-001,1.64670453139864e-001
1.06009061034845e-002	-2.48883058033326e-001,1.64786667428939e-001
1.06055583222420e-002	-2.49094851520287e-001,1.64902989041205e-001
1.06102125826305e-002	-2.49306819370703e-001,1.65019418094587e-001
1.06148688855461e-002	-2.49518961717843e-001,1.65135954707134e-001
1.06195272318852e-002	-2.49731278695060e-001,1.65252598997029e-001
1.06241876225444e-002	-2.49943770435791e-001,1.65369351082598e-001
1.06288500584209e-002	-2.50156437073556e-001,1.65486211082311e-001
1.06335145404123e-002	-2.50369278741956e-001,1.65603179114777e-001
1.06381810694165e-002	-2.50582295574681e-001,1.65720255298727e-001
1.06428496463318e-002	-2.50795487705500e-001,1.65837439753048e-001
1.06475202720571e-002	-2.51008855268268e-001,1.65954732596750e-001
1.06521929474913e-002	-2.51222398396923e-001,1.66072133949009e-001
1.06568676735340e-002	-2.51436117225487e-001,1.66189643929103e-001
1.06615444510852e-002	-2.51650011888066e-001,1.66307262656481e-001
1.06662232810451e-002	-2.51864082518848e-001,1.66424990250720e-001
1.06709041643144e-002	-2.52078329252106e-001,1.66542826831532e-001
1.06755871017943e-002	-2.52292752222198e-001,1.66660772518778e-001
1.06802720943861e-002	-2.52507351563563e-001,1.66778827432450e-001
1.06849591429919e-002	-2.52722127410726e-001,1.66896991692682e-001
1.06896482485139e-002	-2.52937079898295e-001,1.67015265419762e-001
1.06943394118548e-002	-2.53152209160962e-001,1.67133648734105e-001
