time	V(in)	V(out)
1.514277646394811e-003	1.000000000000000e+000	2.870764150384864e+001
1.514377646394811e-003	1.000000000000000e+000	2.870763706591214e+001
1.514477646394811e-003	1.000000000000000e+000	2.870763265190368e+001
1.514577646394811e-003	1.000000000000000e+000	2.870762826081926e+001
1.514677646394811e-003	1.000000000000000e+000	2.870762389180538e+001
1.514777646394811e-003	1.000000000000000e+000	2.870761954393593e+001
1.514877646394811e-003	1.000000000000000e+000	2.870761521642333e+001
1.514977646394811e-003	1.000000000000000e+000	2.870761090841119e+001
1.515077646394811e-003	1.000000000000000e+000	2.870760661917499e+001
1.515177646394811e-003	1.000000000000000e+000	2.870760234792536e+001
1.515277646394811e-003	1.000000000000000e+000	2.870759809399259e+001
1.515377646394811e-003	1.000000000000000e+000	2.870759385664838e+001
1.515477646394811e-003	1.000000000000000e+000	2.870758963527681e+001
1.515577646394811e-003	1.000000000000000e+000	2.870758542920494e+001
1.515677646394811e-003	1.000000000000000e+000	2.870758123786541e+001
1.515777646394811e-003	1.000000000000000e+000	2.870757706063764e+001
1.515877646394811e-003	1.000000000000000e+000	2.870757289699873e+001
1.515977646394811e-003	1.000000000000000e+000	2.870756874637448e+001
1.516077646394811e-003	1.000000000000000e+000	2.870756460828218e+001
1.516177646394811e-003	1.000000000000000e+000	2.870756048219310e+001
1.516277646394811e-003	1.000000000000000e+000	2.870755636766350e+001
1.516377646394811e-003	1.000000000000000e+000	2.870755226420518e+001
1.516477646394811e-003	1.000000000000000e+000	2.870754817140955e+001
1.516577646394811e-003	1.000000000000000e+000	2.870754408882461e+001
1.516677646394811e-003	1.000000000000000e+000	2.870754001607294e+001
1.516777646394811e-003	1.000000000000000e+000	2.870753595273894e+001
1.516877646394811e-003	1.000000000000000e+000	2.870753189847554e+001
1.516977646394811e-003	1.000000000000000e+000	2.870752785289819e+001
1.517077646394811e-003	1.000000000000000e+000	2.870752381568633e+001
1.517177646394811e-003	1.000000000000000e+000	2.870751978648461e+001
1.517277646394811e-003	1.000000000000000e+000	2.870751576499900e+001
1.517377646394811e-003	1.000000000000000e+000	2.870751175090179e+001
1.517477646394811e-003	1.000000000000000e+000	2.870750774392136e+001
1.517577646394811e-003	1.000000000000000e+000	2.870750374375498e+001
1.517677646394811e-003	1.000000000000000e+000	2.870749975015326e+001
1.517777646394811e-003	1.000000000000000e+000	2.870749576283694e+001
1.517877646394811e-003	1.000000000000000e+000	2.870749178157504e+001
1.517977646394811e-003	1.000000000000000e+000	2.870748780610897e+001
1.518077646394811e-003	1.000000000000000e+000	2.870748383622668e+001
1.518177646394811e-003	1.000000000000000e+000	2.870747987169053e+001
1.518277646394811e-003	1.000000000000000e+000	2.870747591230535e+001
1.518377646394811e-003	1.000000000000000e+000	2.870747195785062e+001
1.518477646394811e-003	1.000000000000000e+000	2.870746800814673e+001
1.518577646394811e-003	1.000000000000000e+000	2.870746406299044e+001
