Freq.	V(vin)/-I(Vg)
1.38356637897177e-002	1.06853246754328e+005,-5.23094358913028e+006
1.38675582887188e-002	1.06852314440154e+005,-5.21892279280243e+006
1.38995263121334e-002	1.06851377894424e+005,-5.20692966590149e+006
1.39315680294529e-002	1.06850437098260e+005,-5.19496414483575e+006
1.39636836105593e-002	1.06849492032691e+005,-5.18302616615983e+006
1.39958732257261e-002	1.06848542678694e+005,-5.17111566657438e+006
1.40281370456195e-002	1.06847589017150e+005,-5.15923258292565e+006
1.40604752412990e-002	1.06846631028847e+005,-5.14737685220525e+006
1.40928879842186e-002	1.06845668694493e+005,-5.13554841154976e+006
1.41253754462274e-002	1.06844701994745e+005,-5.12374719824042e+006
1.41579377995707e-002	1.06843730910123e+005,-5.11197314970278e+006
1.41905752168908e-002	1.06842755421107e+005,-5.10022620350637e+006
1.42232878712281e-002	1.06841775508077e+005,-5.08850629736440e+006
1.42560759360218e-002	1.06840791151331e+005,-5.07681336913340e+006
1.42889395851109e-002	1.06839802331089e+005,-5.06514735681287e+006
1.43218789927353e-002	1.06838809027478e+005,-5.05350819854501e+006
1.43548943335364e-002	1.06837811220518e+005,-5.04189583261433e+006
1.43879857825583e-002	1.06836808890202e+005,-5.03031019744739e+006
1.44211535152486e-002	1.06835802016383e+005,-5.01875123161238e+006
1.44543977074592e-002	1.06834790578839e+005,-5.00721887381890e+006
1.44877185354475e-002	1.06833774557296e+005,-4.99571306291755e+006
1.45211161758773e-002	1.06832753931340e+005,-4.98423373789966e+006
1.45545908058195e-002	1.06831728680512e+005,-4.97278083789693e+006
1.45881426027534e-002	1.06830698784250e+005,-4.96135430218113e+006
1.46217717445671e-002	1.06829664221905e+005,-4.94995407016376e+006
1.46554784095590e-002	1.06828624972739e+005,-4.93858008139575e+006
1.46892627764385e-002	1.06827581015911e+005,-4.92723227556713e+006
1.47231250243271e-002	1.06826532330535e+005,-4.91591059250670e+006
1.47570653327588e-002	1.06825478895581e+005,-4.90461497218171e+006
