time	V(vout)
1.538698104997161e+000	-3.968323e-001
1.539695247854310e+000	-3.861642e-001
1.540692390711460e+000	-3.757100e-001
1.541689533568609e+000	-3.654696e-001
1.542153819282898e+000	-3.607665e-001
1.542618104997187e+000	-3.561056e-001
1.543082390711475e+000	-3.514869e-001
1.543546676425764e+000	-3.469104e-001
1.544010962140053e+000	-3.423761e-001
1.544475247854342e+000	-3.378839e-001
1.544939533568630e+000	-3.334339e-001
1.544949533568630e+000	-3.333385e-001
1.545800962140064e+000	-3.252891e-001
1.546652390711499e+000	-3.173701e-001
1.547503819282933e+000	-3.095813e-001
1.548355247854367e+000	-3.019229e-001
1.549206676425801e+000	-2.943948e-001
1.550058104997235e+000	-2.869970e-001
1.550909533568669e+000	-2.797295e-001
1.551519533568673e+000	-2.745967e-001
1.552129533568677e+000	-2.695248e-001
1.552739533568681e+000	-2.645138e-001
1.553349533568685e+000	-2.595635e-001
1.553959533568689e+000	-2.546742e-001
1.554569533568693e+000	-2.498457e-001
1.555179533568697e+000	-2.450780e-001
1.555189533568697e+000	-2.450003e-001
1.556490962140134e+000	-2.350364e-001
1.557792390711572e+000	-2.253174e-001
1.559093819283009e+000	-2.158431e-001
1.560395247854446e+000	-2.066136e-001
1.561696676425883e+000	-1.976289e-001
1.562998104997320e+000	-1.888889e-001
1.564299533568757e+000	-1.803938e-001
1.565429533568765e+000	-1.731875e-001
1.566890962140203e+000	-1.641306e-001
1.568352390711641e+000	-1.553263e-001
1.569813819283079e+000	-1.467746e-001
1.571275247854517e+000	-1.384756e-001
1.572736676425955e+000	-1.304292e-001
1.574198104997393e+000	-1.226354e-001
1.575659533568832e+000	-1.150942e-001
1.575669533568832e+000	-1.150433e-001
1.577130962140270e+000	-1.077306e-001
1.578592390711708e+000	-1.006266e-001
1.580053819283146e+000	-9.373128e-002
1.581515247854584e+000	-8.704467e-002
1.582976676426022e+000	-8.056676e-002
1.584438104997461e+000	-7.429755e-002
1.585899533568899e+000	-6.823704e-002
1.585909533568899e+000	-6.819613e-002
1.587370962140337e+000	-6.232426e-002
1.588832390711775e+000	-5.662464e-002
1.590293819283213e+000	-5.109726e-002
1.591755247854651e+000	-4.574211e-002
1.593216676426089e+000	-4.055921e-002
1.594678104997528e+000	-3.554854e-002
1.596139533568966e+000	-3.071011e-002
1.596149533568966e+000	-3.067747e-002
1.597233819283259e+000	-2.718515e-002
1.598318104997551e+000	-2.377294e-002
1.599402390711844e+000	-2.044083e-002
1.600486676426137e+000	-1.718882e-002
1.601570962140430e+000	-1.401691e-002
1.602655247854723e+000	-1.092510e-002
1.603739533569015e+000	-7.913390e-003
1.604116676426161e+000	-6.882124e-003
1.604493819283306e+000	-5.859649e-003
1.604870962140451e+000	-4.845966e-003
1.605248104997597e+000	-3.841075e-003
1.605625247854742e+000	-2.844976e-003
1.606002390711887e+000	-1.857668e-003
1.606379533569033e+000	-8.791523e-004
1.606389533569033e+000	-8.533197e-004
1.606572390711891e+000	-3.820288e-004
1.606755247854750e+000	8.727140e-005
1.606938104997608e+000	5.545809e-004
1.607120962140466e+000	1.019900e-003
1.607303819283324e+000	1.483228e-003
1.607486676426183e+000	1.944565e-003
1.607669533569041e+000	2.403912e-003
1.608948104997621e+000	5.555851e-003
1.610226676426201e+000	8.619450e-003
1.611505247854781e+000	1.159471e-002
1.612783819283360e+000	1.448163e-002
1.614062390711940e+000	1.728020e-002
1.615340962140520e+000	1.999044e-002
1.616619533569100e+000	2.261233e-002
1.616629533569100e+000	2.263256e-002
1.618090962140538e+000	2.552883e-002
