Freq.	V(vout)*exp(i*Pi)
1.47570653327588e-001	1.98513987668434e+001,1.09446310476016e+000
1.47910838816819e-001	1.98452222485578e+001,1.10492592385580e+000
1.48251808514594e-001	1.98390518145622e+001,1.11542026975628e+000
1.48593564228699e-001	1.98328874996542e+001,1.12594614897588e+000
1.48936107771090e-001	1.98267293381646e+001,1.13650356795753e+000
1.49279440957898e-001	1.98205773642192e+001,1.14709253310537e+000
1.49623565609442e-001	1.98144316115824e+001,1.15771305077086e+000
1.49968483550236e-001	1.98082921136626e+001,1.16836512725383e+000
1.50314196609001e-001	1.98021589035627e+001,1.17904876881317e+000
1.50660706618673e-001	1.97960320140947e+001,1.18976398167033e+000
1.51008015416413e-001	1.97899114776843e+001,1.20051077200177e+000
1.51356124843619e-001	1.97837973264220e+001,1.21128914594580e+000
1.51705036745932e-001	1.97776895921093e+001,1.22209910961336e+000
1.52054752973248e-001	1.97715883061992e+001,1.23294066908253e+000
1.52405275379728e-001	1.97654934998074e+001,1.24381383040212e+000
1.52756605823806e-001	1.97594052036881e+001,1.25471859959212e+000
1.53108746168202e-001	1.97533234483181e+001,1.26565498265732e+000
1.53461698279928e-001	1.97472482638225e+001,1.27662298558030e+000
1.53815464030302e-001	1.97411796799224e+001,1.28762261431686e+000
1.54170045294954e-001	1.97351177260812e+001,1.29865387481936e+000
1.54525443953840e-001	1.97290624313983e+001,1.30971677302358e+000
1.54881661891247e-001	1.97230138246414e+001,1.32081131485781e+000
1.55238700995807e-001	1.97169719342079e+001,1.33193750623963e+000
1.55596563160506e-001	1.97109367881807e+001,1.34309535308522e+000
1.55955250282694e-001	1.97049084143324e+001,1.35428486131449e+000
1.56314764264094e-001	1.96988868399869e+001,1.36550603683398e+000
1.56675107010813e-001	1.96928720922790e+001,1.37675888557575e+000
1.57036280433354e-001	1.96868641978534e+001,1.38804341345722e+000
1.57398286446620e-001	1.96808631831160e+001,1.39935962642146e+000
1.57761126969933e-001	1.96748690740686e+001,1.41070753041448e+000
1.58124803927037e-001	1.96688818964345e+001,1.42208713140696e+000
1.58489319246110e-001	1.96629016754844e+001,1.43349843537167e+000
1.58854674859776e-001	1.96569284362474e+001,1.44494144831735e+000
1.59220872705115e-001	1.96509622033283e+001,1.45641617626351e+000
1.59587914723672e-001	1.96450030010898e+001,1.46792262527191e+000
1.59955802861465e-001	1.96390508534254e+001,1.47946080141375e+000
1.60324539069002e-001	1.96331057839554e+001,1.49103071080417e+000
1.60694125301286e-001	1.96271678159549e+001,1.50263235959049e+000
1.61064563517825e-001	1.96212369722608e+001,1.51426575394469e+000
1.61435855682647e-001	1.96153132755051e+001,1.52593090009968e+000
1.61808003764305e-001	1.96093967478592e+001,1.53762780431322e+000
1.62181009735891e-001	1.96034874112053e+001,1.54935647289615e+000
1.62554875575047e-001	1.95975852870402e+001,1.56111691220357e+000
1.62929603263970e-001	1.95916903965165e+001,1.57290912863903e+000
1.63305194789432e-001	1.95858027604720e+001,1.58473312866659e+000
1.63681652142779e-001	1.95799223993182e+001,1.59658891879252e+000
1.64058977319952e-001	1.95740493332185e+001,1.60847650559838e+000
1.64437172321491e-001	1.95681835818860e+001,1.62039589571054e+000
1.64816239152549e-001	1.95623251647386e+001,1.63234709582757e+000
1.65196179822900e-001	1.95564741008686e+001,1.64433011271942e+000
1.65576996346951e-001	1.95506304089423e+001,1.65634495321246e+000
1.65958690743754e-001	1.95447941073226e+001,1.66839162421273e+000
1.66341265037015e-001	1.95389652140177e+001,1.68047013269971e+000
1.66724721255104e-001	1.95331437466795e+001,1.69258048572974e+000
1.67109061431069e-001	1.95273297225736e+001,1.70472269043307e+000
1.67494287602642e-001	1.95215231586776e+001,1.71689675403288e+000
1.67880401812254e-001	1.95157240715770e+001,1.72910268383023e+000
1.68267406107045e-001	1.95099324775018e+001,1.74134048721396e+000
1.68655302538872e-001	1.95041483923535e+001,1.75361017166702e+000
1.69044093164324e-001	1.94983718316651e+001,1.76591174476234e+000
1.69433780044731e-001	1.94926028106063e+001,1.77824521416714e+000
1.69824365246172e-001	1.94868413440130e+001,1.79061058764988e+000
1.70215850839493e-001	1.94810874463863e+001,1.80300787308187e+000
1.70608238900310e-001	1.94753411318248e+001,1.81543707843084e+000
1.71001531509027e-001	1.94696024141057e+001,1.82789821177567e+000
1.71395730750840e-001	1.94638713066774e+001,1.84039128130666e+000
1.71790838715757e-001	1.94581478225646e+001,1.85291629531503e+000
1.72186857498599e-001	1.94524319745226e+001,1.86547326221913e+000
1.72583789199018e-001	1.94467237749032e+001,1.87806219054433e+000
1.72981635921508e-001	1.94410232357187e+001,1.89068308893886e+000
1.73380399775412e-001	1.94353303686210e+001,1.90333596617029e+000
1.73780082874935e-001	1.94296451849456e+001,1.91602083113705e+000
1.74180687339159e-001	1.94239676956273e+001,1.92873769285522e+000
1.74582215292048e-001	1.94182979112722e+001,1.94148656047464e+000
1.74984668862463e-001	1.94126358421478e+001,1.95426744328008e+000
1.75388050184174e-001	1.94069814981649e+001,1.96708035068903e+000
1.75792361395867e-001	1.94013348888637e+001,1.97992529225200e+000
1.76197604641161e-001	1.93956960234594e+001,1.99280227766650e+000
1.76603782068614e-001	1.93900649108023e+001,2.00571131676613e+000
1.77010895831740e-001	1.93844415593728e+001,2.01865241952799e+000
1.77418948089014e-001	1.93788259773697e+001,2.03162559608851e+000
1.77827941003890e-001	1.93732181725622e+001,2.04463085671870e+000
1.78237876744807e-001	1.93676181523879e+001,2.05766821184441e+000
1.78648757485203e-001	1.93620259240252e+001,2.07073767206656e+000
1.79060585403527e-001	1.93564414941815e+001,2.08383924811671e+000
1.79473362683250e-001	1.93508648692779e+001,2.09697295089942e+000
1.79887091512876e-001	1.93452960553589e+001,2.11013879147575e+000
1.80301774085954e-001	1.93397350581714e+001,2.12333678108190e+000
1.80717412601090e-001	1.93341818830436e+001,2.13656693110627e+000
1.81134009261958e-001	1.93286365350471e+001,2.14982925312643e+000
1.81551566277311e-001	1.93230990188016e+001,2.16312375886972e+000
1.81970085860996e-001	1.93175693386901e+001,2.17645046026151e+000
1.82389570231961e-001	1.93120474986442e+001,2.18980936938105e+000
1.82810021614272e-001	1.93065335023346e+001,2.20320049850677e+000
1.83231442237119e-001	1.93010273530448e+001,2.21662386008688e+000
1.83653834334832e-001	1.92955290537357e+001,2.23007946676244e+000
1.84077200146893e-001	1.92900386069834e+001,2.24356733134992e+000
1.84501541917945e-001	1.92845560150756e+001,2.25708746686723e+000
1.84926861897805e-001	1.92790812799551e+001,2.27063988652521e+000
1.85353162341479e-001	1.92736144031511e+001,2.28422460371174e+000
1.85780445509167e-001	1.92681553859314e+001,2.29784163202723e+000
1.86208713666284e-001	1.92627042291784e+001,2.31149098526518e+000
1.86637969083464e-001	1.92572609334446e+001,2.32517267741928e+000
1.87068214036577e-001	1.92518254989659e+001,2.33888672269253e+000
1.87499450806739e-001	1.92463979255761e+001,2.35263313548150e+000
1.87931681680324e-001	1.92409782128680e+001,2.36641193041038e+000
1.88364908948977e-001	1.92355663599702e+001,2.38022312228916e+000
1.88799134909627e-001	1.92301623658006e+001,2.39406672616553e+000
1.89234361864495e-001	1.92247662288382e+001,2.40794275728283e+000
1.89670592121112e-001	1.92193779472793e+001,2.42185123111149e+000
1.90107827992327e-001	1.92139975189988e+001,2.43579216334666e+000
1.90546071796322e-001	1.92086249415012e+001,2.44976556989756e+000
1.90985325856621e-001	1.92032602119594e+001,2.46377146689773e+000
1.91425592502106e-001	1.91979033272103e+001,2.47780987070755e+000
1.91866874067026e-001	1.91925542837872e+001,2.49188079792472e+000
1.92309172891013e-001	1.91872130778423e+001,2.50598426536406e+000
1.92752491319091e-001	1.91818797052342e+001,2.52012029008415e+000
1.93196831701689e-001	1.91765541614875e+001,2.53428888937938e+000
1.93642196394658e-001	1.91712364417664e+001,2.54849008077493e+000
1.94088587759275e-001	1.91659265409238e+001,2.56272388203942e+000
