time	-I(Rl)	V(vout)
2.023340941847673e-03	4.117545e+00	4.117546e-03
2.023345792175473e-03	4.117027e+00	4.117028e-03
2.023355492831072e-03	4.115945e+00	4.115946e-03
2.023374894142271e-03	4.113598e+00	4.113598e-03
2.023393784823663e-03	4.110943e+00	4.110944e-03
2.023422864722109e-03	4.105841e+00	4.105841e-03
2.023458783344304e-03	4.097279e+00	4.097280e-03
2.023523832429270e-03	4.076229e+00	4.076229e-03
2.023596343123485e-03	4.046674e+00	4.046675e-03
2.023682380578580e-03	4.006826e+00	4.006827e-03
2.023769399655750e-03	3.965469e+00	3.965470e-03
2.023870176060465e-03	3.918067e+00	3.918068e-03
2.023982066426934e-03	3.863914e+00	3.863915e-03
2.024086790116665e-03	3.807418e+00	3.807418e-03
2.024202349159817e-03	3.734787e+00	3.734787e-03
2.024313730075476e-03	3.653770e+00	3.653771e-03
2.024435095611777e-03	3.554993e+00	3.554993e-03
2.024576851791876e-03	3.431756e+00	3.431756e-03
2.024748557775508e-03	3.280020e+00	3.280021e-03
2.024977064348522e-03	3.086298e+00	3.086299e-03
2.025265069344203e-03	2.865163e+00	2.865164e-03
2.025525960910926e-03	2.696465e+00	2.696465e-03
2.025888647569703e-03	2.510460e+00	2.510461e-03
2.026265028712268e-03	2.356880e+00	2.356880e-03
2.026637236355876e-03	2.226902e+00	2.226902e-03
2.027083399011439e-03	2.079875e+00	2.079875e-03
2.027451442046501e-03	1.966285e+00	1.966285e-03
2.027857583085235e-03	1.860413e+00	1.860413e-03
2.028345596807805e-03	1.763218e+00	1.763219e-03
2.028787571452808e-03	1.695130e+00	1.695130e-03
2.029289316217051e-03	1.623893e+00	1.623894e-03
2.029771282101691e-03	1.553518e+00	1.553518e-03
2.030331883536738e-03	1.478099e+00	1.478099e-03
2.030837343345147e-03	1.425555e+00	1.425555e-03
2.031299364536008e-03	1.389018e+00	1.389018e-03
2.031926005719334e-03	1.339990e+00	1.339991e-03
2.032548959491636e-03	1.286242e+00	1.286242e-03
2.033212100365123e-03	1.234042e+00	1.234042e-03
2.033860708601363e-03	1.195576e+00	1.195576e-03
2.034524730042769e-03	1.160896e+00	1.160896e-03
2.035240069962367e-03	1.118029e+00	1.118029e-03
2.035869775703242e-03	1.080037e+00	1.080037e-03
2.036612030137148e-03	1.044700e+00	1.044701e-03
2.037274487555026e-03	1.018408e+00	1.018408e-03
2.038072086126715e-03	9.828060e-01	9.828061e-04
2.038784805008525e-03	9.490968e-01	9.490969e-04
2.039661806471679e-03	9.151581e-01	9.151582e-04
2.040426147539320e-03	8.906252e-01	8.906253e-04
2.041355703856097e-03	8.575420e-01	8.575421e-04
2.042210574834232e-03	8.262339e-01	8.262339e-04
2.043222248526938e-03	7.966308e-01	7.966309e-04
2.044171426519926e-03	7.718582e-01	7.718583e-04
2.045234548355360e-03	7.409648e-01	7.409649e-04
2.046398779760465e-03	7.100387e-01	7.100388e-04
2.047602286906470e-03	6.842176e-01	6.842177e-04
2.049055466439497e-03	6.522481e-01	6.522482e-04
2.050414080678281e-03	6.234252e-01	6.234253e-04
2.051887786342201e-03	5.980913e-01	5.980914e-04
2.053721601899791e-03	5.673022e-01	5.673023e-04
2.055525809289372e-03	5.385947e-01	5.385947e-04
2.057256969668451e-03	5.160224e-01	5.160225e-04
2.059899441082444e-03	4.828236e-01	4.828237e-04
2.062155851740266e-03	4.578340e-01	4.578341e-04
2.064459521171600e-03	4.363535e-01	4.363536e-04
2.067145079880143e-03	4.123166e-01	4.123166e-04
2.070763751461555e-03	3.853754e-01	3.853755e-04
2.074142117143289e-03	3.630002e-01	3.630003e-04
2.077477193833210e-03	3.438009e-01	3.438009e-04
2.080989296257579e-03	3.272829e-01	3.272829e-04
2.085042448966868e-03	3.096857e-01	3.096858e-04
2.089620689217466e-03	2.937522e-01	2.937522e-04
2.094095112911784e-03	2.801338e-01	2.801339e-04
2.099157183152927e-03	2.674330e-01	2.674331e-04
2.103803528614306e-03	2.578230e-01	2.578231e-04
2.108972057900353e-03	2.483946e-01	2.483946e-04
2.114937144582078e-03	2.402897e-01	2.402897e-04
2.120908903948316e-03	2.330156e-01	2.330157e-04
